Gene ID,Gene Name,Patient1,Patient2,Patient3,Patient4,Patient5,Patient6,Patient7,Patient8,Patient9,Patient10
ENSG00000242338,BMS1P4,1,2,4,2,2,1,3,1,0.8,2
ENSG00000271816,BMS1P4,0.8,0.8,0.5,0.9,0.2,0.5,0.7,0.3,0.8,0.4
ENSG00000000460,C1orf112,7,12,11,8,6,10,7,7,10,7
ENSG00000000971,CFH,1,0.9,0.4,0.8,4,5,2,2,1,2
ENSG00000000419,DPM1,96,112,111,106,111,118,103,114,108,117
ENSG00000000938,FGR,6,40,21,13,27,34,23,16,32,26
ENSG00000001036,FUCA2,204,176,181,181,174,169,156,148,170,178
ENSG00000001084,GCLC,45,42,62,38,48,53,75,59,58,76
ENSG00000253161,LINC01605,5,4,8,5,5,3,4,4,3,4
ENSG00000253414,LINC01605,32,30,36,33,33,26,28,28,25,19
ENSG00000001167,NFYA,44,43,40,35,48,56,49,45,47,47
ENSG00000168255,POLR2J3,0.5,2,1,0.7,0.5,1,0.6,0.3,1,0.3
ENSG00000285437,POLR2J3,0.4,2,1,0.5,0.1,0.9,0.3,0.1,0.5,0.2
ENSG00000214783,POLR2J4,0.4,0.2,0.2,0.2,0.2,0.2,0.4,0.1,0.2,0.4
ENSG00000272655,POLR2J4,4,5,5,4,4,4,3,3,4,4
ENSG00000143248,RGS5,3,0.8,2,7,10,10,6,3,4,9
ENSG00000232995,RGS5,1,1,0.8,1,0.4,0.9,0.3,0.5,0.6,0.7
ENSG00000000457,SCYL3,6,6,6,7,7,10,6,7,6,7
ENSG00000105501,SIGLEC5,4,5,10,11,10,3,6,7,12,5
ENSG00000268500,SIGLEC5,3,4,4,4,3,5,8,5,2,3
ENSG00000001460,STPG1,0.9,0.9,0.9,2,2,2,2,1,2,2
ENSG00000284770,TBCE,3,2,3,3,3,5,2,2,2,4
ENSG00000285053,TBCE,1,2,1,1,2,2,0.6,0.7,1,1
ENSG00000000003,TSPAN6,4,1,2,5,8,5,5,5,4,11
